,person_id,age,sex,household_id,workplace_id,district_id,economic_status,school_goers
614795,614795,22,Female,152325000.0,2_student_633,2,student,1
597990,597990,0,Female,148018000.0,none,2,inactive,0
81588,81588,20,Female,20341000.0,7_subsistence_ag_590,7,subsistence_ag,0
426482,426482,53,Male,104755000.0,58_subsistence_ag_248,58,subsistence_ag,0
119051,119051,18,Female,29940000.0,10_student_52,10,student,0
317325,317325,40,Male,78979000.0,39_subsistence_ag_113,39,subsistence_ag,0
289383,289383,29,Male,71900000.0,31_informal_petty_trade_12,31,informal_petty_trade,0
256358,256358,42,Female,64078000.0,27_subsistence_ag_756,27,subsistence_ag,0
33985,33985,6,Female,8942000.0,none,3,inactive,0
233040,233040,33,Female,58400000.0,19_informal_petty_trade_13,19,informal_petty_trade,0
295240,295240,27,Female,73283000.0,30_healthcare_social_work_4,30,healthcare_social_work,0
374314,374314,82,Male,92449000.0,51_religious_1,51,religious,0
517494,517494,70,Female,126896000.0,38_student_39,38,student,0
400902,400902,41,Male,98869000.0,55_informal_petty_trade_10,55,informal_petty_trade,0
224868,224868,13,Female,56356000.0,23_student_5,23,student,1
54160,54160,23,Male,13854000.0,5_ag_estates_3,5,ag_estates,0
475785,475785,3,Male,116941000.0,none,33,inactive,0
512307,512307,48,Male,125774000.0,37_subsistence_ag_539,37,subsistence_ag,0
435151,435151,16,Male,106732000.0,59_subsistence_ag_136,59,subsistence_ag,0
346071,346071,31,Male,85693000.0,none,41,unemployed_not_ag,0
108137,108137,2,Male,27122000.0,none,7,inactive,0
518387,518387,1,Male,127116000.0,none,38,inactive,0
276993,276993,15,Male,68901000.0,31_student_80,31,student,1
294849,294849,10,Female,73175000.0,28_student_86,28,student,1
147383,147383,24,Male,36884000.0,14_subsistence_ag_409,14,subsistence_ag,0
33105,33105,14,Female,8725000.0,3_student_16,3,student,1
457179,457179,34,Female,112436000.0,60_subsistence_ag_5,60,subsistence_ag,0
196199,196199,37,Female,49107000.0,19_subsistence_ag_21,19,subsistence_ag,0
