weekday,home_region,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60
3,d_13,0,15.2497,15.2497,15.2497,15.2497,15.2861,15.3103,15.3168,15.3168,23.203899,24.4608,25.5439,83.1586,83.970398,84.051903,84.477699,84.525101,89.522102,89.604401,89.604401,89.669296,89.6838,89.862099,89.885597,89.888603,90.1576,90.221397,90.295502,90.295502,90.503304,99.881203,99.881203,99.881203,99.881203,99.897797,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.9207,99.943199,99.943199,99.943199,99.968399,100,100,100,100
4,d_13,0.0024,15.3328,15.3328,15.3328,15.3328,15.3834,15.4166,15.4263,15.4263,22.824301,24.0028,25.0653,82.712502,83.459297,83.526901,83.961304,84.011002,89.016197,89.111298,89.111298,89.186096,89.200699,89.385201,89.403198,89.408203,89.733299,89.804901,89.8815,89.8843,90.1138,99.857903,99.857903,99.857903,99.857903,99.885399,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.908203,99.9403,99.9403,99.9403,99.963402,100,100,100,100
5,d_13,0.0027,16.305099,16.3088,16.3088,16.3088,16.3848,16.43,16.4485,16.4485,24.3188,25.515499,26.629499,81.4804,82.290001,82.3759,82.870399,82.927002,88.605797,88.748596,88.748596,88.851303,88.871399,89.088799,89.110802,89.123497,89.476196,89.552399,89.656303,89.656303,89.895699,99.826401,99.826401,99.826401,99.826401,99.851196,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.8862,99.917801,99.917801,99.917801,99.9487,100,100,100,100
6,d_13,0,15.8671,15.8671,15.8671,15.8671,15.919,15.9463,15.9621,15.9621,24.108101,25.323099,26.515499,81.091499,81.9086,81.996803,82.599899,82.660896,88.439201,88.577003,88.577003,88.694099,88.714104,88.945198,88.978897,88.9935,89.3367,89.385201,89.470001,89.470001,89.681602,99.856003,99.856003,99.856003,99.856003,99.877502,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.903,99.930099,99.930099,99.930099,99.959702,100,100,100,100
0,d_14,0,1.5509,1.5509,1.5509,1.5509,1.5509,1.5509,1.5509,1.5509,5.0648999,9.6209002,9.6684999,10.9888,88.871201,92.916199,98.823898,98.823898,98.994797,99.004204,99.004204,99.016602,99.016602,99.053902,99.727699,99.727699,99.771301,99.771301,99.775597,99.775597,99.775597,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,99.994797,100,100,100,100,100
1,d_14,0,1.681,1.681,1.681,1.681,1.681,1.681,1.681,1.681,5.7656002,10.4963,10.5471,11.8722,89.506699,93.225899,99.009903,99.009903,99.1549,99.1549,99.1549,99.160698,99.160698,99.184303,99.736099,99.736099,99.774902,99.774902,99.783699,99.783699,99.783699,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,d_14,0,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,5.3957,10.0514,10.1122,11.4063,88.777901,93.156601,99.090202,99.090202,99.208504,99.208504,99.208504,99.208504,99.208504,99.223,99.820801,99.820801,99.851997,99.851997,99.851997,99.851997,99.851997,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,d_14,0,1.4417,1.4417,1.4417,1.4417,1.4417,1.4417,1.4417,1.4417,5.132,9.7921,9.8563995,11.1069,88.864998,93.183502,98.889603,98.889603,98.997002,98.997002,98.997002,98.997002,98.997002,99.029602,99.792397,99.792397,99.834099,99.834099,99.834099,99.834099,99.834099,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,d_14,0,1.4780999,1.4780999,1.4780999,1.4780999,1.4780999,1.4780999,1.4780999,1.4780999,5.2821002,10.3949,10.4591,11.7499,88.659798,92.9431,99.035004,99.035004,99.162498,99.166496,99.166496,99.166496,99.166496,99.194,99.794296,99.794296,99.833199,99.833199,99.833199,99.833199,99.833199,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,d_14,0,1.6984,1.6984,1.6984,1.6984,1.6984,1.6984,1.6984,1.6984,5.6022,10.7125,10.7625,12.1891,87.857498,92.057999,98.770401,98.774597,98.918098,98.918098,98.918098,98.927101,98.927101,98.967796,99.732903,99.732903,99.779297,99.779297,99.7836,99.7836,99.7836,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
