,time,myId,metric_died_count,metric_new_hospitalized,metric_new_critical,metric_new_cases_asympt,metric_new_cases_sympt,metric_new_deaths,districtId,seed
2567,42,d_59,0,0,0,0,0,0,59,198010m
2568,42,d_12,0,0,0,0,0,0,12,198010m
2569,42,d_56,0,0,0,0,0,0,56,198010m
2570,42,d_13,0,0,0,0,0,0,13,198010m
2571,42,d_57,0,0,0,0,0,0,57,198010m
2572,42,d_10,0,0,0,0,0,0,10,198010m
2573,42,d_54,0,0,0,0,0,0,54,198010m
2574,42,d_11,0,0,0,0,0,0,11,198010m
2575,42,d_55,0,0,0,0,0,0,55,198010m
2576,42,d_52,0,0,0,0,0,0,52,198010m
2577,42,d_53,0,0,0,0,0,0,53,198010m
2578,42,d_50,0,0,0,0,0,0,50,198010m
2579,42,d_51,0,0,0,0,0,0,51,198010m
2580,43,d_38,0,0,0,0,0,0,38,198010m
2581,43,d_39,0,0,0,0,0,0,39,198010m
2582,43,d_47,0,0,0,0,0,0,47,198010m
2583,43,d_48,0,0,0,0,0,0,48,198010m
2584,43,d_45,0,0,0,0,0,0,45,198010m
2585,43,d_46,0,0,0,0,0,0,46,198010m
2586,43,d_43,0,0,0,0,0,0,43,198010m
2587,43,d_44,0,0,0,0,0,0,44,198010m
2588,43,d_2,0,0,0,1,0,0,2,198010m
2589,43,d_41,0,0,0,0,0,0,41,198010m
2590,43,d_1,0,0,0,0,0,0,1,198010m
2591,43,d_42,0,0,0,0,0,0,42,198010m
2592,43,d_4,0,0,0,0,0,0,4,198010m
2593,43,d_3,0,0,0,0,0,0,3,198010m
2594,43,d_40,0,0,0,0,0,0,40,198010m
2595,43,d_6,0,0,0,0,0,0,6,198010m
2596,43,d_5,0,0,0,0,0,0,5,198010m
2597,43,d_8,0,0,0,0,0,0,8,198010m
2598,43,d_7,0,0,0,0,0,0,7,198010m
2599,43,d_9,0,0,0,0,0,0,9,198010m
2600,43,d_29,0,0,0,0,0,0,29,198010m
2601,43,d_27,0,0,0,0,0,0,27,198010m
2602,43,d_28,0,0,0,0,0,0,28,198010m
2603,43,d_36,0,0,0,0,0,0,36,198010m
2604,43,d_37,0,0,0,0,0,0,37,198010m
2605,43,d_34,0,0,0,0,0,0,34,198010m
2606,43,d_35,0,0,0,0,0,0,35,198010m
2607,43,d_32,0,0,0,0,0,0,32,198010m
2608,43,d_33,0,0,0,0,0,0,33,198010m
2609,43,d_30,0,0,0,0,0,0,30,198010m
2610,43,d_31,0,0,0,0,1,0,31,198010m
2611,43,d_18,0,0,0,0,0,0,18,198010m
2612,43,d_19,0,0,0,0,0,0,19,198010m
2613,43,d_16,0,0,0,0,0,0,16,198010m
2614,43,d_17,0,0,0,0,0,0,17,198010m
2615,43,d_25,0,0,0,0,0,0,25,198010m
2616,43,d_26,0,0,0,0,0,0,26,198010m
2617,43,d_23,0,0,0,0,0,0,23,198010m
2618,43,d_24,0,0,0,0,0,0,24,198010m
2619,43,d_21,0,0,0,0,0,0,21,198010m
2620,43,d_22,0,0,0,0,0,0,22,198010m
2621,43,d_20,0,0,0,0,0,0,20,198010m
2622,43,d_60,0,0,0,0,0,0,60,198010m
2623,43,d_49,0,0,0,0,0,0,49,198010m
2624,43,d_14,0,0,0,0,0,0,14,198010m
2625,43,d_58,0,0,0,0,0,0,58,198010m
2626,43,d_15,0,0,0,0,0,0,15,198010m
2627,43,d_59,0,0,0,0,0,0,59,198010m
2628,43,d_12,0,0,0,0,0,0,12,198010m
2629,43,d_56,0,0,0,0,0,0,56,198010m
2630,43,d_13,0,0,0,1,0,0,13,198010m
2631,43,d_57,0,0,0,0,0,0,57,198010m
2632,43,d_10,0,0,0,0,0,0,10,198010m
2633,43,d_54,0,0,0,0,0,0,54,198010m
2634,43,d_11,0,0,0,0,0,0,11,198010m
2635,43,d_55,0,0,0,0,0,0,55,198010m
2636,43,d_52,0,0,0,0,0,0,52,198010m
2637,43,d_53,0,0,0,0,0,0,53,198010m
2638,43,d_50,0,0,0,0,0,0,50,198010m
2639,43,d_51,0,0,0,0,0,0,51,198010m
2640,44,d_38,0,0,0,0,0,0,38,198010m
2641,44,d_39,0,0,0,0,0,0,39,198010m
2642,44,d_47,0,0,0,0,0,0,47,198010m
2643,44,d_48,0,0,0,0,0,0,48,198010m
2644,44,d_45,0,0,0,0,0,0,45,198010m
2645,44,d_46,0,0,0,0,0,0,46,198010m
2646,44,d_43,0,0,0,0,0,0,43,198010m
2647,44,d_44,0,0,0,0,0,0,44,198010m
2648,44,d_2,0,0,0,1,1,0,2,198010m
2649,44,d_41,0,0,0,0,0,0,41,198010m
2650,44,d_1,0,0,0,0,0,0,1,198010m
2651,44,d_42,0,0,0,0,0,0,42,198010m
2652,44,d_4,0,0,0,0,0,0,4,198010m
2653,44,d_3,0,0,0,0,0,0,3,198010m
2654,44,d_40,0,0,0,0,0,0,40,198010m
2655,44,d_6,0,0,0,0,0,0,6,198010m
2656,44,d_5,0,0,0,0,0,0,5,198010m
2657,44,d_8,0,0,0,0,0,0,8,198010m
2658,44,d_7,0,0,0,0,0,0,7,198010m
2659,44,d_9,0,0,0,0,0,0,9,198010m
2660,44,d_29,0,0,0,0,0,0,29,198010m
2661,44,d_27,0,0,0,0,0,0,27,198010m
2662,44,d_28,0,0,0,0,0,0,28,198010m
2663,44,d_36,0,0,0,0,0,0,36,198010m
2664,44,d_37,0,0,0,0,0,0,37,198010m
2665,44,d_34,0,0,0,0,0,0,34,198010m
2666,44,d_35,0,0,0,0,0,0,35,198010m
2667,44,d_32,0,0,0,0,0,0,32,198010m
2668,44,d_33,0,0,0,0,0,0,33,198010m
2669,44,d_30,0,0,0,0,0,0,30,198010m
2670,44,d_31,0,0,0,0,0,0,31,198010m
2671,44,d_18,0,0,0,0,0,0,18,198010m
2672,44,d_19,0,0,0,0,0,0,19,198010m
2673,44,d_16,0,0,0,0,0,0,16,198010m
2674,44,d_17,0,0,0,0,0,0,17,198010m
2675,44,d_25,0,0,0,0,0,0,25,198010m
2676,44,d_26,0,0,0,0,0,0,26,198010m
2677,44,d_23,0,0,0,0,0,0,23,198010m
2678,44,d_24,0,0,0,0,0,0,24,198010m
2679,44,d_21,0,0,0,1,0,0,21,198010m
2680,44,d_22,0,0,0,1,0,0,22,198010m
2681,44,d_20,0,0,0,1,0,0,20,198010m
2682,44,d_60,0,0,0,0,0,0,60,198010m
2683,44,d_49,0,0,0,0,0,0,49,198010m
2684,44,d_14,0,0,0,0,0,0,14,198010m
2685,44,d_58,0,0,0,0,0,0,58,198010m
2686,44,d_15,0,0,0,0,0,0,15,198010m
2687,44,d_59,0,0,0,0,0,0,59,198010m
2688,44,d_12,0,0,0,0,0,0,12,198010m
2689,44,d_56,0,0,0,0,0,0,56,198010m
2690,44,d_13,0,0,0,0,3,0,13,198010m
2691,44,d_57,0,0,0,0,0,0,57,198010m
2692,44,d_10,0,0,0,0,1,0,10,198010m
2693,44,d_54,0,0,0,0,0,0,54,198010m
2694,44,d_11,0,0,0,0,0,0,11,198010m
2695,44,d_55,0,0,0,0,0,0,55,198010m
2696,44,d_52,0,0,0,0,0,0,52,198010m
2697,44,d_53,0,0,0,0,0,0,53,198010m
2698,44,d_50,0,0,0,0,0,0,50,198010m
2699,44,d_51,0,0,0,0,0,0,51,198010m
2700,45,d_38,0,0,0,0,0,0,38,198010m
2701,45,d_39,0,0,0,0,0,0,39,198010m
2702,45,d_47,0,0,0,0,0,0,47,198010m
2703,45,d_48,0,0,0,0,0,0,48,198010m
2704,45,d_45,0,0,0,0,0,0,45,198010m
2705,45,d_46,0,0,0,0,0,0,46,198010m
2706,45,d_43,0,0,0,0,0,0,43,198010m
2707,45,d_44,0,0,0,0,0,0,44,198010m
2708,45,d_2,0,0,0,2,0,0,2,198010m
2709,45,d_41,0,0,0,0,0,0,41,198010m
2710,45,d_1,0,0,0,0,1,0,1,198010m
2711,45,d_42,0,0,0,0,0,0,42,198010m
2712,45,d_4,0,0,0,0,0,0,4,198010m
2713,45,d_3,0,0,0,0,0,0,3,198010m
2714,45,d_40,0,0,0,0,0,0,40,198010m
2715,45,d_6,0,0,0,0,0,0,6,198010m
2716,45,d_5,0,0,0,0,0,0,5,198010m
2717,45,d_8,0,0,0,0,0,0,8,198010m
2718,45,d_7,0,0,0,0,0,0,7,198010m
2719,45,d_9,0,0,0,0,0,0,9,198010m
2720,45,d_29,0,0,0,0,0,0,29,198010m
2721,45,d_27,0,0,0,0,0,0,27,198010m
2722,45,d_28,0,0,0,0,1,0,28,198010m
2723,45,d_36,0,0,0,0,0,0,36,198010m
2724,45,d_37,0,0,0,0,0,0,37,198010m
2725,45,d_34,0,0,0,0,0,0,34,198010m
2726,45,d_35,0,0,0,0,0,0,35,198010m
2727,45,d_32,0,0,0,0,0,0,32,198010m
2728,45,d_33,0,0,0,0,0,0,33,198010m
2729,45,d_30,0,0,0,0,0,0,30,198010m
2730,45,d_31,0,0,0,0,0,0,31,198010m
2731,45,d_18,0,0,0,0,0,0,18,198010m
2732,45,d_19,0,0,0,0,0,0,19,198010m
2733,45,d_16,0,0,0,0,0,0,16,198010m
2734,45,d_17,0,0,0,0,0,0,17,198010m
2735,45,d_25,0,0,0,0,0,0,25,198010m
2736,45,d_26,0,0,0,0,1,0,26,198010m
2737,45,d_23,0,0,0,0,0,0,23,198010m
2738,45,d_24,0,0,0,0,0,0,24,198010m
2739,45,d_21,0,0,0,0,0,0,21,198010m
2740,45,d_22,0,0,0,0,0,0,22,198010m
2741,45,d_20,0,0,0,0,0,0,20,198010m
